302	2 6 4 6 2 6 4 6
303	2 6 5 10 4 5 10 6
304	2 6 5 12 3 10 6 4
305	2 6 5 14 4 7 10 6
306	2 6 6 4 2 6 6 4
307	2 6 6 6 4 6 6 6
308	2 6 7 10 4 5 14 6
309	2 6 7 12 3 14 6 4
310	2 6 7 14 4 7 14 6
311	2 7 9 10 4 5 9 14
312	2 7 9 12 3 9 14 4
313	2 7 9 14 4 7 9 14
314	2 7 10 6 4 6 5 14
315	2 7 11 10 4 5 13 14
316	2 7 11 12 3 13 14 4
317	2 7 12 6 3 14 4 6
318	2 7 13 10 4 5 11 14
319	2 7 13 12 3 11 14 4
320	2 7 13 14 4 7 11 14
321	2 7 14 4 2 7 14 4
322	2 7 14 6 4 6 7 14
323	2 7 15 10 4 5 15 14
324	2 7 15 12 3 15 14 4
325	2 7 15 14 4 7 15 14
326	3 9 12 6 3 9 12 6
327	3 9 13 10 5 11 9 12
328	3 9 14 6 6 7 9 12
329	3 10 3 14 5 12 7 12
330	3 10 5 10 5 10 5 12
331	3 10 5 12 3 10 5 12
332	3 10 5 14 5 12 7 10
333	3 10 6 6 5 12 6 6
334	3 10 7 10 5 12 5 14
335	3 10 7 12 3 14 5 12
336	3 11 10 6 5 13 12 6
337	3 11 14 6 6 7 13 12
338	3 12 5 14 3 12 7 10
339	3 12 6 6 3 12 6 6
340	3 14 5 10 5 10 7 12
341	3 14 5 14 7 10 7 12
342	3 14 6 6 6 6 7 12
343	3 14 7 10 5 14 7 12
344	3 14 7 14 7 12 7 14
345	3 15 14 6 6 7 15 12
346	3 15 15 14 7 15 15 12
347	5 9 9 10 5 9 9 10
348	5 9 9 14 7 9 9 10
349	5 9 10 6 5 9 10 6
350	5 9 13 10 5 11 9 10
351	5 9 14 6 6 7 9 10
352	5 9 15 10 5 15 9 10
353	5 10 5 10 5 10 5 10
354	5 10 5 14 5 10 7 10
355	5 10 6 6 5 10 6 6
356	5 10 7 14 5 10 7 14
357	5 11 9 14 7 9 13 10
358	5 11 10 6 5 13 10 6
359	5 11 13 10 5 11 13 10
360	5 11 14 6 6 7 13 10
361	5 13 14 6 6 7 11 10
362	5 14 5 14 7 10 7 10
363	5 14 6 6 6 6 7 10
364	5 14 7 10 5 14 7 10
365	5 14 7 14 7 10 7 14
366	5 15 9 14 7 9 15 10
367	5 15 10 6 5 15 10 6
368	5 15 14 6 6 7 15 10
369	5 15 15 14 7 15 15 10
370	6 6 6 6 6 6 6 6
371	6 6 7 14 6 6 7 14
372	6 7 9 14 6 7 9 14
373	6 7 11 14 6 7 13 14
374	6 7 15 14 6 7 15 14
375	7 9 9 14 7 9 9 14
376	7 14 7 14 7 14 7 14
377	7 15 15 14 7 15 15 14
378	15 15 15 15 15 15 15 15
